Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Amount_invested_monthly,Credit_Score
28.0,34847.84,3037.986667,2.0,4.0,6.0,1.0,7.0,1.0,7.42,2.0,605.03,38.55084843,26.666666666666668,40.39123783,3
28.0,34847.84,3037.986667,2.0,4.0,6.0,1.0,3.0,1.0,6.42,2.0,605.03,34.97789475,26.916666666666668,130.1154202,3
28.0,34847.84,3037.986667,2.0,4.0,6.0,1.0,3.0,0.0,5.42,2.0,605.03,33.3810102,27.0,43.47719014,3
34.0,143162.64,12187.22,1.0,5.0,8.0,3.0,5.0,8.0,7.1,3.0,1303.01,28.61673482,17.75,168.4137027,3
34.0,143162.64,12187.22,1.0,5.0,8.0,3.0,13.0,6.0,7.1,3.0,1303.01,41.70257342,17.833333333333332,232.8603838,3
34.0,143162.64,12187.22,1.0,5.0,8.0,3.0,10.0,5.0,7.1,3.0,1303.01,31.37614957,18.083333333333332,430.9475279,3
34.0,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1303.01,38.06862363,18.25,263.1741632,2
34.0,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1303.01,38.37475295,18.333333333333332,10000.0,2
55.0,30689.89,2612.490833,2.0,5.0,4.0,1.0,7.0,6.0,-2.01,4.0,632.46,38.13234819,17.5,272.3340374,2
55.0,30689.89,2612.490833,2.0,5.0,4.0,1.0,5.0,6.0,-1.01,4.0,632.46,41.15431655,17.583333333333332,10000.0,2
31.0,73928.46,5988.705,4.0,5.0,8.0,0.0,8.0,7.0,10.14,2.0,548.2,30.20165771,32.166666666666664,618.2023913,3
44.0,31370.8,2825.233333,1.0,6.0,12.0,2.0,1.0,0.0,5.76,5.0,421.43,30.1680304,26.666666666666668,233.6055264,3
44.0,31370.8,2825.233333,1.0,6.0,12.0,2.0,1.0,0.0,5.76,5.0,421.43,25.18923173,26.75,184.7005716,3
40.0,33751.27,2948.605833,5.0,5.0,20.0,3.0,16.0,20.0,8.0,8.0,1328.93,29.07375818,19.5,243.3296848,2
40.0,33751.27,2948.605833,5.0,5.0,20.0,3.0,16.0,20.0,11.0,8.0,1328.93,32.78263673,19.583333333333332,72.86008181,2
35.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,3.0,179.22,23.1950254,27.25,635.1465605,2
36.0,54392.16,4766.68,6.0,4.0,14.0,3.0,10.0,8.0,5.54,7.0,179.22,35.11253199,27.333333333333332,158.1124035,2
37.0,25546.26,2415.855,8.0,7.0,14.0,5.0,16.0,14.0,10.83,5.0,758.44,30.09906724,18.666666666666668,130.3003938,2
20.0,92047.08,7591.59,6.0,7.0,16.0,0.0,16.0,11.0,9.13,4.0,1296.64,27.72764678,29.75,268.0846033,1
26.0,97791.42,8079.285,6.0,6.0,12.0,0.0,18.0,8.0,11.92,1.0,107.41,28.71120252,27.25,322.7203197,2
31.0,19300.34,1512.361667,6.0,7.0,17.0,5.0,51.0,19.0,9.95,7.0,2430.21,28.87038692,18.416666666666668,61.42802987,2
32.0,43070.24,3622.186667,3.0,3.0,18.0,1.0,11.0,8.0,8.97,8.0,1233.1,34.71864364,19.666666666666668,108.6234469,2
37.0,39641.54,3007.461667,10.0,8.0,25.0,6.0,61.0,16.0,1.54,8.0,2258.73,27.91283759,9.083333333333334,122.148451,1
55.0,20186.02,1684.168333,1.0,5.0,1.0,2.0,5.0,7.0,6.83,4.0,413.32,39.06398122,18.583333333333332,138.8031575,2
21.0,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,20.0,11.8,7.0,1489.49,26.15307798,8.833333333333334,47.26668051,2
21.0,12986.745,959.22875,4.0,3.0,10.0,2.0,30.0,15.0,11.8,7.0,1489.49,31.78179827,8.916666666666666,76.35527781,2
36.0,71681.4,5799.45,3.0,6.0,15.0,1.0,8.0,3083.0,10.44,0.0,1293.02,40.79113731,25.916666666666668,10000.0,3
16.0,29469.98,2227.831667,7.0,7.0,24.0,5.0,53.0,21.0,26.94,11.0,3421.66,38.17731096,13.5,71.26438577,1
20.0,72559.36,6284.613333,4.0,5.0,17.0,4.0,15.0,19.0,-1.26,5.0,1173.7,38.17098243,28.5,105.7178731,2
19.0,66567.32,5800.276667,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,233.79,26.54909964,24.583333333333332,149.525305,2
19.0,66567.32,5800.276667,5.0,7.0,5.0,2.0,7.0,15.0,5.67,0.0,233.79,26.50760977,24.75,66.68835825,2
21.0,148699.32,12432.61,3.0,4.0,5.0,3.0,13.0,3.0,9.2,1.0,949.38,41.47825034,30.75,10000.0,3
22.0,148699.32,12432.61,3.0,4.0,5.0,3.0,18.0,6.0,9.2,1.0,949.38,39.77628577,31.083333333333332,342.8142659,3
22.0,148699.32,12432.61,3.0,4.0,5.0,3.0,16.0,8.0,9.2,1.0,949.38,40.60538838,31.166666666666668,328.9078394,3
19.0,85554.03,7185.5025,4.0,2.0,3.0,0.0,12.0,7.0,6.43,3.0,1095.73,36.62486342,19.75,128.5248739,3
15.0,55829.79,4369.4825,10.0,10.0,18.0,8.0,30.0,19.0,27.99,11.0,3422.49,27.97880174,10.583333333333334,132.0062495,2
30.0,87215.68,7489.973333,2.0,6.0,8.0,2.0,6.0,6.0,10.98,0.0,680.77,26.78610224,20.75,106.9503614,2
30.0,87215.68,7489.973333,2.0,6.0,8.0,2.0,2.0,5.0,10.98,0.0,680.77,30.48381722,21.166666666666668,169.1108856,3
