Customer_ID,Month,City,Street,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Credit_Score,Has_Payday_Loan,Has_Credit_Builder_Loan,Has_Not_Specified_Loan,Has_Home_Equity_Loan,Has_Mortgage_Loan,Has_Personal_Loan,Has_Student_Loan,Has_Debt_Consolidation_Loan,Has_Auto_Loan,Loan_Count
CUS_0xd40,April,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,3,7,10.27,4,Good,809.98,26.55827502142857,22.375,No,103.48607852857143,3,0,1,0,1,0,1,0,0,1,4
CUS_0x21b1,April,Lonton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,4,5.848571428571429,2,Good,605.03,33.48086854625,26.875,No,95.6379993425,3,0,1,0,0,0,0,0,0,0,1
CUS_0x2dbc,April,Lonton,Downing Street,34,Developer,143162.64,12187.22,1,5,8.0,8,6,7.85,3,Good,1303.01,35.49303641875,18.041666666666668,No,2772.3025183625,3,0,0,1,0,0,0,0,0,1,3
CUS_0xb891,April,Standhampton,Jubilee Street,55,Architect,30689.89,2612.490833,2,5,4.0,5,6,0.2757142857142858,4,Good,632.46,31.78079633375,17.541666666666668,No,1536.9645928842856,2,0,0,1,0,0,0,0,0,0,1
CUS_0x1cdb,April,Standhampton,Old Street,21,Journalist,35547.71,2853.309167,7,5,5.0,5,15,2.58,4,Standard,943.86,30.2907337425,30.958333333333332,Yes,144.1941900457143,2,0,0,0,0,0,0,0,0,0,0
CUS_0x95ee,April,Lonton,Elm Street,31,Scientist,73928.46,5988.705,4,5,8.0,8,7,9.973333333333334,2,Good,548.2,35.98284740857143,32.208333333333336,No,257.4467586057143,3,0,0,0,0,0,0,0,0,0,0
CUS_0x284a,April,Lonton,Market Street,34,Media_Manager,1671043.9142857143,10727.066283333334,0,1,8.0,0,2,10.34,4,Good,352.16,33.667304765714285,30.875,No,487.9954888157143,3,0,1,0,0,1,0,0,0,0,2
CUS_0x5407,April,BadShire,King Street,30,Unemployed,34081.38,2611.115,8,7,15.0,30,14,17.27285714285714,5,Standard,1704.18,32.04407516714286,14.875,Yes,112.6891368925,1,0,0,1,0,0,0,1,0,1,3
CUS_0x4157,April,Lonton,Abbey Drive,23,Manager,114838.41,9843.8675,2,5,7.0,11,11,8.84,8,Good,1377.74,30.30071858875,21.625,No,331.24873817142856,3,0,0,0,0,0,1,0,1,1,3
CUS_0xba08,April,Lonton,Downing Street,44,Lawyer,31370.8,2825.233333,1,6,12.0,1,0,4.385,5,Good,421.43,28.636269212857144,26.708333333333332,No,198.872649625,3,1,0,1,0,0,0,0,0,0,2
