Month,City,Street,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Credit_Score,Has_Payday_Loan,Has_Credit_Builder_Loan,Has_Not_Specified_Loan,Has_Home_Equity_Loan,Has_Mortgage_Loan,Has_Personal_Loan,Has_Student_Loan,Has_Debt_Consolidation_Loan,Has_Auto_Loan,Has_Missing_Loan
February,BadShire,South Street,20.0,Farmer,15577.009999999995,1383.084167,6.0,5.0,24.0,4.333333333333333,26.0,21.0,15.953333333333333,7.0,Bad,2173.67,30.90858205,5.5,Yes,75.01599288,1,0,1,0,0,0,1,1,0,0,0
February,BadShire,Park Street,19.0,Cleaner,17227.160000000003,1398.5966670000003,8.0,6.0,22.0,6.0,48.0,16.0,7.52,11.0,_,2086.83,32.42864288,8.25,Yes,62.98948002999998,1,1,0,1,0,1,1,1,0,0,0
March,Lonton,Market Street,31.0,Doctor,166540.05333333334,15066.783329999998,0.0,3.0,10.333333333333334,4.0,0.0,13.000000000000002,10.36,2.0,_,257.63666666666677,35.385078836666665,19.833333333333332,NM,3849.321037133333,3,0,0,1,1,0,1,0,0,1,0
Unknown,Standhampton,Imperial Street,38.333333333333336,Architect,35268.59333333332,991.9033333000002,6.0,10.0,19.0,6.0,37.66666666666667,18.0,23.276666666666667,6.0,Bad,3533.0633333333335,29.33335964,12.083333333333334,NM,34.058448510000005,2,0,1,0,1,1,1,1,0,0,0
April,Standhampton,South Street,34.0,Unemployed,75322.42666666667,4260.357222333334,3.0,5.333333333333333,1.0,1.0,15.0,8.0,6.87,2.0,Good,921.87,37.38996604,24.583333333333332,NM,484.3361159,2,0,0,0,0,0,0,0,1,0,0
July,Standhampton,Fleet Street,46.0,Teacher,15219.080000000002,1505.256667,7.333333333333333,8.333333333333334,33.0,5.0,50.0,21.333333333333332,24.2,10.0,_,4511.85,33.82638465,3.333333333333334,NM,172.70137289999997,2,1,0,1,0,1,0,0,1,0,0
March,Standhampton,Unknown,47.0,Journalist,27240.070000000007,2065.005833,5.0,3.0,18.0,4.0,26.0,18.0,6.22,1.0,Standard,1301.08,32.547434636666665,20.63888888888889,No,225.42448336666666,2,0,0,0,1,1,1,0,0,0,0
April,Unknown,High Street,24.0,Architect,26554.520000000004,4667.969444666667,5.333333333333333,4.0,20.0,3.0,22.0,11.0,9.72,8.0,Standard,1206.9466666666665,28.11327835,7.833333333333332,Yes,224.50648389666668,2,0,0,0,1,0,0,0,1,0,0
Unknown,Standhampton,Unknown,30.666666666666668,Teacher,71461.6,4053.271578,8.0,5.0,15.0,5.0,34.0,23.0,23.96,9.0,Bad,4356.59,29.19544908,11.833333333333334,Yes,401.1680745666667,2,0,0,0,1,0,1,1,1,0,0
May,Standhampton,Unknown,16.0,Teacher,15742.17333333334,1129.070905,6.0,6.0,5.0,4.0,30.0,18.0,11.58,5.0,_,1029.0133333333333,29.691165956666666,11.611111111111112,Yes,132.2197428,2,0,1,0,0,0,1,1,0,0,0
